matmult cycles/loop iteration
  n   ijk   ikj   jik   jki   kij   kji
 25 10.64 23.42 11.04 19.45 23.49 18.22 
 50 11.71 23.20 11.48 19.82 23.17 17.56 
 75 13.28 23.63 13.30 20.57 23.42 17.99 
100 15.72 24.61 15.58 26.74 23.65 25.39 
125 17.16 25.05 16.75 27.37 24.96 28.07 
150 17.98 25.08 16.87 33.13 25.61 35.24 
175 24.59 25.20 23.11 33.74 25.79 36.00 
200 24.67 25.17 23.24 33.98 25.80 36.28 
225 24.80 25.13 23.25 34.36 25.74 36.53 
250 26.62 25.11 23.27 34.56 25.71 36.65 
275 26.28 25.10 23.46 35.39 25.67 37.60 
300 27.80 25.10 23.85 36.32 25.67 38.77 
325 28.50 25.14 24.15 37.25 25.56 39.99 
350 28.73 25.14 24.40 38.53 25.66 41.42 
375 29.03 25.17 24.66 39.44 25.71 42.49 
400 27.30 25.13 25.58 40.67 25.67 44.01 
