matmult cycles/loop iteration
  n   ijk   jik   jki   kji   kij   ikj
 50  5.36  5.43  6.44  6.45  4.37  3.60 
100  6.34  6.22  6.86  6.81  5.36  5.33 
150  6.29  6.22  7.06  6.87  5.44  5.45 
200  6.35  6.28  5.77  5.56  3.33  3.19 
250  3.71  3.61 10.99 11.10  3.29  3.15 
300  3.71  3.58 33.01 32.98  3.24  3.12 
350  3.72  3.62 49.43 49.42  3.20  3.10 
400  3.79  3.71 51.48 51.50  3.17  3.10 
450  4.56  4.60 52.06 52.08  3.16  2.47 
500  7.68  7.51 52.16 52.08  3.14  3.09 
550 11.75 11.65 52.14 52.16  3.13  3.07 
600 16.54 16.45 52.14 52.16  3.11  3.06 
650 20.63 20.50 52.21 52.19  3.10  3.02 
700 23.88 23.71 52.23 52.25  3.10  3.01 
750 23.87 23.69 52.26 52.31  3.09  3.00 

matmult cycles/loop iteration
  n   ijk   jik   jki   kji   kij   ikj
 50  5.33  5.42  6.41  6.41  4.37  3.59 
100  6.34  6.21  6.87  6.82  5.36  5.31 
150  6.28  6.23  4.12  3.98  3.18  3.20 
200  3.70  3.71  5.67  5.47  3.33  3.19 
250  3.72  3.61 10.76 10.87  3.30  3.15 
300  3.71  3.58 33.15 33.11  3.24  3.12 
350  3.72  3.62 49.44 49.44  3.20  3.10 
400  3.82  3.74 51.49 51.51  3.17  3.10 
450  4.58  4.62 52.06 52.09  3.16  3.11 
500  7.73  7.56 52.08 52.11  3.14  3.09 
550 11.74 11.64 52.10 52.12  3.13  3.07 
600 16.55 16.45 52.13 52.16  3.11  3.06 
650 20.64 20.50 52.19 52.21  3.11  3.02 
700 23.86 23.68 52.24 52.28  3.10  3.01 
750 23.84 23.66 52.31 52.33  3.09  3.00 

matmult cycles/loop iteration
  n   ijk   jik   jki   kji   kij   ikj
 50  5.31  5.40  6.40  6.40  4.37  3.58 
100  6.35  6.23  6.87  6.82  5.36  5.31 
150  6.29  3.64  4.14  4.01  3.23  3.19 
200  3.70  3.71  5.53  5.33  3.32  3.18 
250  3.72  3.61 10.93 11.04  3.29  3.15 
300  3.71  3.60 33.23 33.21  3.24  3.12 
350  3.72  3.63 49.43 49.42  3.20  3.10 
400  3.83  3.74 51.49 51.50  3.17  3.10 
450  4.60  4.64 52.06 52.07  3.16  3.11 
500  7.74  7.57 52.06 52.08  3.14  3.09 
550 11.71 11.62 52.07 52.09  3.13  3.07 
600 16.54 16.44 52.09 52.10  3.12  3.06 
650 20.57 20.44 52.12 52.14  3.10  3.02 
700 23.85 23.68 52.17 52.19  3.10  3.02 
750 23.86 23.66 52.20 52.23  3.08  3.01 
