matmult cycles/loop iteration
  n   ijk   ikj   jik   jki   kij   kji
 25  5.18  6.56  5.53  7.09  6.68  6.33 
 50  5.60  9.01  6.55 15.34 10.99 18.42 
 75  5.70  9.21  6.55 20.17 12.05 24.87 
100  7.79  9.92  7.95 24.27 11.77 27.66 
125  9.25 10.57  9.46 27.50 12.75 29.60 
150 11.27 11.54 11.62 41.43 13.39 42.12 
175 12.55 13.05 12.59 46.40 15.00 47.06 
200 13.16 14.40 13.39 46.96 16.71 48.22 
225 14.08 16.74 14.20 47.66 19.00 49.62 
250 14.85 19.33 15.20 48.39 20.93 50.81 
275 15.50 21.58 16.34 49.31 22.82 51.99 
300 16.00 23.30 17.15 49.91 24.81 53.13 
325 16.45 24.68 17.73 50.29 26.75 54.42 
350 16.84 25.19 18.15 50.40 27.47 55.15 
375 16.90 25.38 18.23 50.45 27.86 55.82 
400 16.93 25.35 18.17 50.36 27.93 56.10 
