       s1      s3      s5      s7      s9      s11     s13     s15     s17     s19     s21     s23     s25     s27     s29     s31
64m     5160.5  3102.9  2092.0  1664.0  1313.6  1091.8  933.1   792.6   735.8   703.4   675.7   653.9   637.3   620.1   620.8   617.3
32m     5179.0  3102.6  1547.8  1664.1  1317.9  1088.4  930.4   809.8   740.8   702.1   675.5   650.6   548.8   625.9   621.6   619.3
16m     5173.2  3113.5  2115.1  1676.7  1246.2  1102.2  943.8   814.4   753.4   722.7   691.1   678.2   655.8   653.0   652.4   657.4
8m      5315.8  3965.4  2808.3  2225.0  1841.5  1522.1  1333.1  527.8   960.4   711.4   1217.6  1285.0  1355.1  1447.2  1462.6  1607.6
4m      5559.7  5346.4  4204.8  3111.7  3090.8  2651.9  2299.6  2013.9  1880.3  1852.3  1765.2  1666.7  1703.1  1797.9  1785.9  1791.8
2m      5574.0  5405.0  4272.3  3341.4  3153.4  2699.3  2304.2  2049.7  1919.5  1890.1  1876.4  1865.6  1851.7  1844.6  1832.9  1834.4
1024k   5578.7  5379.5  4290.8  3344.2  3161.7  2748.0  2359.7  2058.3  1927.5  1903.5  1876.3  1874.6  1859.5  1850.8  891.9   1852.4
512k    5561.7  5379.9  4249.2  3327.4  3181.7  2735.0  2348.3  2055.2  1018.2  1804.8  1887.8  1880.6  1879.5  1910.0  1942.7  1980.3
256k    5580.8  5410.5  4616.3  3964.2  3673.5  3243.5  2772.2  2442.3  2392.5  2489.7  2478.4  2596.9  2664.3  2642.1  2704.9  2717.2
128k    5579.5  5520.4  4924.4  4520.0  3978.8  3558.3  3111.5  2796.7  2782.0  2752.2  2746.7  2751.8  2766.6  2756.6  2825.1  2799.0
64k     5574.2  5519.9  4836.3  4473.3  3773.9  3470.4  3043.4  2705.2  2660.0  2667.0  2613.1  2692.1  3214.3  2988.8  2813.2  3091.4
32k     5502.8  5337.6  5119.3  4996.6  4848.5  5211.5  4553.8  4465.4  4434.1  4297.9  5110.4  4734.8  3987.0  3973.7  3811.1  3825.4
16k     5369.9  5133.0  4806.5  4597.1  4345.8  4151.8  4009.1  3827.1  3633.5  3616.6  3646.4  3151.3  3325.0  2990.7  4298.7  3001.0
8k      5261.0  4749.4  4348.4  3795.4  3404.5  3255.0  3008.6  2898.9  2996.4  3912.9  2673.7  2421.9  2409.5  2363.6  2301.0  2194.5
