Clock frequency is approx. 547.5 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	
8m	196.9	201.2	190.7	160.2	128.7	108.3	92.9	81.3	80.6	79.8	79.2	86.7	86.6	86.6	86.5	86.6	
4m	197.0	201.2	180.3	171.1	137.7	115.7	99.4	87.0	86.8	73.8	72.7	86.7	86.6	86.5	86.5	86.6	
2m	196.9	218.9	202.2	171.2	137.6	115.9	99.4	86.9	86.9	86.9	87.2	87.0	87.5	87.7	87.3	86.5	
1024k	221.6	226.6	209.4	177.3	142.6	120.1	103.0	90.2	91.0	92.7	93.8	104.6	103.1	110.9	113.8	89.7	
512k	335.7	338.4	316.3	269.6	217.9	184.4	159.0	139.4	148.5	159.1	176.5	206.3	199.7	252.0	207.3	137.7	
256k	728.4	712.6	704.8	611.8	504.9	432.9	383.7	334.7	334.7	334.6	334.2	334.1	333.8	333.5	333.3	333.5	
128k	728.7	713.5	704.7	611.4	504.9	434.6	383.0	334.4	334.4	333.9	333.5	333.0	332.7	332.4	331.9	333.3	
64k	727.4	710.3	700.3	606.9	500.4	427.7	379.3	332.0	331.0	330.1	329.2	328.4	327.8	327.1	326.0	329.5	
32k	724.8	704.2	691.3	595.2	492.3	421.4	371.9	326.0	324.0	322.5	321.1	319.8	383.2	428.4	581.5	322.5	
16k	1043.8	1011.5	974.8	930.8	885.2	854.5	811.3	795.7	848.0	885.2	865.4	944.7	933.4	875.0	914.1	758.6	
8k	1067.1	1040.6	1014.6	991.3	968.4	944.7	924.3	907.1	888.0	868.9	848.6	835.3	817.3	804.7	790.8	774.3	
4k	1040.6	991.3	944.7	907.1	868.9	835.3	804.7	774.3	750.3	720.0	697.5	674.0	655.7	634.4	617.6	601.5	
2k	991.3	907.1	835.3	774.3	720.0	674.0	634.4	601.5	564.9	539.5	514.3	489.8	474.9	451.6	432.9	419.6	
1k	907.1	774.3	674.0	601.5	539.5	489.8	451.6	419.6	389.1	365.0	335.0	318.7	300.7	283.4	264.0	252.1	
