Clock frequency is approx. 2227.4 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	
8m	1440.5	741.3	569.7	462.3	383.4	324.9	282.0	248.0	220.6	197.7	176.5	158.2	143.5	131.4	121.3	113.4	
4m	1439.5	747.7	569.6	461.4	383.2	324.5	281.2	247.9	220.8	197.8	176.7	157.5	143.4	131.4	122.2	114.4	
2m	1437.5	747.4	569.9	461.9	382.8	325.0	281.3	247.1	220.6	197.0	175.9	157.9	143.2	131.6	122.4	114.4	
1024k	1434.4	742.0	567.8	460.2	381.5	322.9	280.8	246.8	220.3	197.0	175.9	157.2	142.0	130.7	122.1	113.9	
512k	2181.6	1220.9	952.1	795.8	642.7	558.0	497.1	443.1	398.2	358.1	318.3	295.4	265.6	245.5	230.0	215.2	
256k	3420.4	2204.2	1833.9	1634.0	1238.2	1131.5	1100.7	1000.4	952.1	851.5	795.6	771.4	719.8	666.6	631.3	606.7	
128k	4438.8	3315.2	2972.7	2898.6	1973.1	1945.3	2419.7	2108.9	2209.0	1825.5	2267.5	2208.4	2380.9	2206.2	2145.4	1996.3	
64k	4422.9	3248.5	2857.5	2889.0	2061.7	1773.6	1915.2	2101.2	2190.4	2513.1	2224.8	2213.2	2308.4	2227.8	2151.1	1990.3	
32k	4403.1	3243.3	2987.1	2865.4	2060.4	1950.6	2210.8	2100.2	2232.3	2268.9	2000.3	2255.5	2116.5	2343.5	2115.0	1973.0	
16k	4382.0	3201.2	2893.4	2836.8	2015.7	1888.4	2554.9	2058.5	2262.2	1987.2	2027.2	2229.0	2220.3	2270.1	2118.7	2007.8	
8k	4311.6	3310.3	2912.2	3932.5	3816.4	3707.8	3619.5	3519.8	3423.8	3353.3	3262.1	3191.3	3104.5	3044.4	2980.7	2909.2	
4k	4177.3	3932.5	3707.8	3519.8	3353.3	3191.3	3044.4	2909.2	2784.2	2679.4	2557.4	2466.0	2402.8	2290.1	2235.6	2159.9	
2k	3932.5	3519.8	3191.3	2909.2	2679.4	2466.0	2290.1	2159.9	2038.8	1893.3	1817.1	1721.1	1619.0	1563.4	1484.9	1425.5	
1k	3519.8	2909.2	2466.0	2159.9	1893.3	1721.1	1563.4	1425.5	1310.9	1208.5	1125.8	1051.8	987.1	945.3	880.6	848.5	
