             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  3.00  4.00        3.50        3.25            |
 | 2  |        5.00        2.50        1.74            |
 | 3  |              4.67                              |
 | 4  |                    4.39        2.47            |
 | 6  |                          4.42              2.21|
 | 8  |                                4.35            |
 | 10 |                                      3.93      |
 | 12 |                                            3.90|
 +-----------------------------------------------------+
