             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  2.00  1.50        1.75        1.23            |
 | 2  |        1.50        1.00        1.61            |
 | 3  |              1.00                              |
 | 4  |                    1.00        1.00            |
 | 6  |                          1.02              1.00|
 | 8  |                                1.03            |
 | 10 |                                      1.02      |
 | 12 |                                            1.08|
 +-----------------------------------------------------+
