             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  7.00  7.00        7.01        7.01            |
 | 2  |        3.50        3.53        3.51            |
 | 3  |              2.33                              |
 | 4  |                    2.01        3.03            |
 | 6  |                          2.00              1.98|
 | 8  |                                2.01            |
 | 10 |                                      2.01      |
 | 12 |                                            2.01|
 +-----------------------------------------------------+
