             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  8.00  8.00        8.01        8.01            |
 | 2  |        4.16        4.09        4.23            |
 | 3  |              3.36                              |
 | 4  |                    2.75        2.15            |
 | 6  |                          3.06              2.44|
 | 8  |                                2.80            |
 | 10 |                                      3.41      |
 | 12 |                                            3.05|
 +-----------------------------------------------------+
