             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  5.00  5.00        5.00        5.00            |
 | 2  |        1.43        1.43        1.43            |
 | 3  |              0.95                              |
 | 4  |                    0.71        0.71            |
 | 6  |                          0.58              0.64|
 | 8  |                                0.58            |
 | 10 |                                      0.59      |
 | 12 |                                            0.58|
 +-----------------------------------------------------+
