             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  5.00  5.00        5.00        5.00            |
 | 2  |        2.50        2.50        2.50            |
 | 3  |              2.00                              |
 | 4  |                    2.01        2.00            |
 | 6  |                          2.00              2.00|
 | 8  |                                2.01            |
 | 10 |                                      2.00      |
 | 12 |                                            2.00|
 +-----------------------------------------------------+
