             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  6.02  6.09        6.08        6.14            |
 | 2  |        3.00        3.05        3.01            |
 | 3  |              2.67                              |
 | 4  |                    2.91        2.11            |
 | 6  |                          2.79              2.18|
 | 8  |                                2.65            |
 | 10 |                                      2.91      |
 | 12 |                                            2.92|
 +-----------------------------------------------------+
