             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  1.71  1.71        1.72        1.71            |
 | 2  |        1.43        1.29        1.27            |
 | 3  |              1.52                              |
 | 4  |                    1.57        1.37            |
 | 6  |                          1.63              0.68|
 | 8  |                                1.59            |
 | 10 |                                      0.93      |
 | 12 |                                            0.90|
 +-----------------------------------------------------+
