             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  8.00  8.00        8.01        8.01            |
 | 2  |        4.15        4.01        4.27            |
 | 3  |              3.35                              |
 | 4  |                    2.76        2.15            |
 | 6  |                          3.06              2.44|
 | 8  |                                2.80            |
 | 10 |                                      3.51      |
 | 12 |                                            3.05|
 +-----------------------------------------------------+
