             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  | 11.03  7.51        7.50        7.50            |
 | 2  |        7.01        6.09        5.55            |
 | 3  |              6.22                              |
 | 4  |                    5.40        5.05            |
 | 6  |                          4.81              2.97|
 | 8  |                                4.56            |
 | 10 |                                      4.49      |
 | 12 |                                            2.52|
 +-----------------------------------------------------+
