             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  | 11.05  7.53        7.52        7.51            |
 | 2  |        7.00        6.09        5.52            |
 | 3  |              6.22                              |
 | 4  |                    5.40        5.04            |
 | 6  |                          4.79              4.91|
 | 8  |                                4.55            |
 | 10 |                                      4.48      |
 | 12 |                                            4.41|
 +-----------------------------------------------------+
