             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  6.13  6.15        5.98        6.24            |
 | 2  |        3.11        3.00        3.17            |
 | 3  |              2.87                              |
 | 4  |                    2.77        2.38            |
 | 6  |                          2.79              2.17|
 | 8  |                                2.65            |
 | 10 |                                      3.36      |
 | 12 |                                            2.93|
 +-----------------------------------------------------+
