             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  | 10.00  6.50        6.51        6.51            |
 | 2  |        7.37        6.09        5.55            |
 | 3  |              6.01                              |
 | 4  |                    5.31        5.00            |
 | 6  |                          4.77              4.91|
 | 8  |                                4.57            |
 | 10 |                                      4.50      |
 | 12 |                                            4.38|
 +-----------------------------------------------------+
