             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  3.00  3.00        3.00        3.00            |
 | 2  |        2.50        2.25        2.23            |
 | 3  |              2.67                              |
 | 4  |                    2.75        2.40            |
 | 6  |                          2.85              1.00|
 | 8  |                                2.90            |
 | 10 |                                      1.62      |
 | 12 |                                            1.52|
 +-----------------------------------------------------+
