             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  3.00  3.00        3.00        3.00            |
 | 2  |        1.50        1.50        1.50            |
 | 3  |              1.33                              |
 | 4  |                    1.00        1.01            |
 | 6  |                          1.01              1.11|
 | 8  |                                1.02            |
 | 10 |                                      1.02      |
 | 12 |                                            1.02|
 +-----------------------------------------------------+
