             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  | 10.00 10.00       10.01       10.00            |
 | 2  |        5.00        5.01        5.01            |
 | 3  |              3.36                              |
 | 4  |                    2.51        2.55            |
 | 6  |                          1.68              1.70|
 | 8  |                                1.32            |
 | 10 |                                      1.09      |
 | 12 |                                            1.15|
 +-----------------------------------------------------+
