             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  | 10.00 10.00       10.01       10.00            |
 | 2  |        5.00        5.00        5.00            |
 | 3  |              3.36                              |
 | 4  |                    3.78        2.54            |
 | 6  |                          2.51              2.11|
 | 8  |                                2.00            |
 | 10 |                                      2.56      |
 | 12 |                                            2.14|
 +-----------------------------------------------------+
