             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  5.15  3.72        3.21        3.15            |
 | 2  |        4.03        3.43        3.11            |
 | 3  |              3.38                              |
 | 4  |                    2.89        2.82            |
 | 6  |                          2.71              2.81|
 | 8  |                                2.58            |
 | 10 |                                      2.58      |
 | 12 |                                            2.52|
 +-----------------------------------------------------+
