             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  2.90  1.50        1.00        1.01            |
 | 2  |        1.50        1.25        1.16            |
 | 3  |              1.33                              |
 | 4  |                    1.25        1.29            |
 | 6  |                          1.70              1.37|
 | 8  |                                1.80            |
 | 10 |                                      1.85      |
 | 12 |                                            1.86|
 +-----------------------------------------------------+
