             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  2.55  1.61        0.97        1.01            |
 | 2  |        1.64        1.00        1.25            |
 | 3  |              1.64                              |
 | 4  |                    1.56        1.41            |
 | 6  |                          1.92              1.67|
 | 8  |                                2.00            |
 | 10 |                                      2.00      |
 | 12 |                                            2.01|
 +-----------------------------------------------------+
