             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  9.50  6.50        5.15        4.54            |
 | 2  |        6.76        5.79        5.32            |
 | 3  |              5.62                              |
 | 4  |                    5.09        4.65            |
 | 6  |                          4.72              4.87|
 | 8  |                                4.52            |
 | 10 |                                      4.39      |
 | 12 |                                            4.39|
 +-----------------------------------------------------+
