             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  2.00  1.50        1.25        1.17            |
 | 2  |        1.50        1.25        1.17            |
 | 3  |              2.00                              |
 | 4  |                    1.50        1.54            |
 | 6  |                          1.25              1.10|
 | 8  |                                1.02            |
 | 10 |                                      1.05      |
 | 12 |                                            1.05|
 +-----------------------------------------------------+
