             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  2.00  2.00        1.50        1.27            |
 | 2  |        1.50        1.33        1.00            |
 | 3  |              1.33                              |
 | 4  |                    1.00        1.18            |
 | 6  |                          1.02              1.12|
 | 8  |                                1.03            |
 | 10 |                                      1.03      |
 | 12 |                                            1.13|
 +-----------------------------------------------------+
