Linear:   
Length	Seconds	uSPE
2	0.000000	0.166500
4	0.000000	0.084750
8	0.000000	0.044375
16	0.000000	0.023688
32	0.000000	0.013594
64	0.000001	0.008438
128	0.000001	0.004805
256	0.000001	0.003457
512	0.000002	0.003014
1024	0.000002	0.002441
2048	0.000005	0.002274
4096	0.000009	0.002194
8192	0.000018	0.002151
16384	0.000035	0.002130
32768	0.000069	0.002119
65536	0.000138	0.002113
131072	0.000277	0.002111
262144	0.000554	0.002114
Quadratic:
Length	Seconds	uSPE
2	0.000000	0.171000
4	0.000000	0.094750
8	0.000000	0.053375
16	0.000001	0.033750
32	0.000001	0.026875
64	0.000002	0.028406
128	0.000005	0.039570
256	0.000018	0.068512
512	0.000064	0.124701
1024	0.000250	0.244351
2048	0.000985	0.480789
4096	0.004009	0.978651
8192	0.015884	1.939006
16384	0.021666	1.322387
32768	0.144001	4.394557
65536	0.572242	8.731717
131072	2.285429	17.436436
262144	9.462750	36.097526
