Processor Clock Rate ~= 1.6000 GHz
Length	lower1	lower2
10000	0.071762	0.000018
20000	0.286800	0.000036
30000	0.645122	0.000054
40000	1.146702	0.000072
50000	1.791565	0.000090
60000	2.579740	0.000107
70000	3.588873	0.000125
80000	4.737463	0.000143
90000	5.957359	0.000161
100000	7.392925	0.000179
110000	8.936130	0.000197
120000	10.622519	0.000215
130000	12.479570	0.000232
140000	14.499180	0.000250
150000	16.652108	0.000268
160000	18.841482	0.000286
170000	21.389604	0.000304
180000	23.975612	0.000322
190000	26.774704	0.000340
200000	29.694986	0.000357
210000	32.685482	0.000375
220000	35.884752	0.000393
230000	39.199993	0.000411
240000	42.758758	0.000429
250000	46.390966	0.000447
260000	50.193472	0.000465
270000	54.146287	0.000845
280000	58.204765	0.000501
290000	62.481937	0.000519
300000	66.853157	0.000938
310000	71.355944	0.000555
320000	76.032786	0.000572
330000	80.907492	0.000590
340000	85.868241	0.000608
350000	91.077459	0.000626
360000	96.406444	0.000644
370000	101.801703	0.000662
380000	107.410867	0.000680
390000	113.066756	0.000698
400000	119.004765	0.000716
410000	125.023703	0.000733
420000	131.214888	0.000751
430000	137.481044	0.000769
440000	144.051210	0.000787
450000	150.669654	0.000805
460000	152.671643	0.000823
470000	159.415361	0.000841
480000	166.343504	0.000859
490000	173.413887	0.000877
500000	185.943906	0.000895
