             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  2.00  1.50        1.00        1.04            |
 | 2  |        1.50        1.00        1.00            |
 | 3  |              1.00                              |
 | 4  |                    1.00        1.03            |
 | 6  |                          1.02              1.02|
 | 8  |                                1.03            |
 | 10 |                                      1.01      |
 | 12 |                                            1.08|
 +-----------------------------------------------------+
