             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  4.99  4.99  4.99  4.99  5.01  5.04  5.08            |
 | 2  |        2.49        2.50              2.56            |
 | 3  |              1.66                                    |
 | 4  |                    1.25              1.30            |
 | 5  |                          1.01                        |
 | 6  |                                1.02              1.38|
 | 8  |                                      1.02            |
 | 10 |                                            1.00      |
 | 12 |                                                  1.02|
 +-----------------------------------------------------------+
