             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  4.21  4.26  4.20  4.20  4.25  4.20  4.22            |
 | 2  |        0.00        0.00              0.00            |
 | 3  |              0.00                                    |
 | 4  |                    0.00              0.00            |
 | 5  |                          0.00                        |
 | 6  |                                0.00              0.00|
 | 8  |                                      0.00            |
 | 10 |                                            0.00      |
 | 12 |                                                  0.00|
 +-----------------------------------------------------------+
