             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  | 11.48  8.12        8.12        8.12            |
 | 2  |        7.00        6.01        6.02            |
 | 3  |              6.09                              |
 | 4  |                    5.34        5.02            |
 | 6  |                          4.70              4.94|
 | 8  |                                4.62            |
 | 10 |                                      4.44      |
 | 12 |                                            4.35|
 +-----------------------------------------------------+
