             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  | 11.48  8.12 11.48  8.12  8.80  8.12  8.12            |
 | 2  |        6.69        5.79              5.80            |
 | 3  |              5.90                                    |
 | 4  |                    5.11              4.82            |
 | 5  |                          4.64                        |
 | 6  |                                4.53              4.75|
 | 8  |                                      4.41            |
 | 10 |                                            4.24      |
 | 12 |                                                  4.17|
 +-----------------------------------------------------------+
