             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  4.15  4.03  4.06  4.09  4.05  4.00  4.08            |
 | 2  |        0.00        0.00              0.00            |
 | 3  |              0.00                                    |
 | 4  |                    0.00              0.00            |
 | 5  |                          0.00                        |
 | 6  |                                0.00              0.00|
 | 8  |                                      0.00            |
 | 10 |                                            0.00      |
 | 12 |                                                  0.00|
 +-----------------------------------------------------------+
