             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  | 10.04  6.52        6.52        6.52            |
 | 2  |        7.14        6.03        5.54            |
 | 3  |              6.00                              |
 | 4  |                    5.18        4.82            |
 | 6  |                          4.65              4.94|
 | 8  |                                4.54            |
 | 10 |                                      4.44      |
 | 12 |                                            4.36|
 +-----------------------------------------------------+
