             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  9.78  6.23  9.57  6.23  6.90  6.23  6.23            |
 | 2  |        7.11        5.78              5.30            |
 | 3  |              5.74                                    |
 | 4  |                    4.96              4.74            |
 | 5  |                          4.62                        |
 | 6  |                                4.50              4.72|
 | 8  |                                      4.35            |
 | 10 |                                            4.24      |
 | 12 |                                                  4.18|
 +-----------------------------------------------------------+
