             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  3.99  3.99  3.99  3.99  3.99  4.04  4.07            |
 | 2  |        2.00        1.99              2.07            |
 | 3  |              1.33                                    |
 | 4  |                    1.00              1.04            |
 | 5  |                          1.01                        |
 | 6  |                                1.03              1.20|
 | 8  |                                      1.04            |
 | 10 |                                            1.01      |
 | 12 |                                                  1.02|
 +-----------------------------------------------------------+
