             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  | 10.55  7.18 10.52  7.18  7.85  7.16  7.16            |
 | 2  |        7.14        5.79              5.31            |
 | 3  |              5.82                                    |
 | 4  |                    4.96              4.75            |
 | 5  |                          4.77                        |
 | 6  |                                4.61              4.70|
 | 8  |                                      4.39            |
 | 10 |                                            4.23      |
 | 12 |                                                  4.17|
 +-----------------------------------------------------------+
