             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  5.00  5.33        5.33        5.33            |
 | 2  |        2.78        2.96        3.08            |
 | 3  |              3.33                              |
 | 4  |                    3.44        3.01            |
 | 6  |                          3.55              1.26|
 | 8  |                                3.63            |
 | 10 |                                      2.03      |
 | 12 |                                            1.90|
 +-----------------------------------------------------+
