             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  3.64  3.64  3.63  3.64  3.64  3.64  3.64            |
 | 2  |        1.83        1.83              1.83            |
 | 3  |              1.22                                    |
 | 4  |                    0.92              0.93            |
 | 5  |                          0.92                        |
 | 6  |                                0.93              1.02|
 | 8  |                                      0.93            |
 | 10 |                                            0.93      |
 | 12 |                                                  0.92|
 +-----------------------------------------------------------+
