             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  2.99  2.99  2.99  2.99  3.02  3.05  3.08            |
 | 2  |        1.50        1.50              1.57            |
 | 3  |              1.00                                    |
 | 4  |                    1.00              1.05            |
 | 5  |                          1.01                        |
 | 6  |                                1.03              1.08|
 | 8  |                                      1.05            |
 | 10 |                                            1.04      |
 | 12 |                                                  1.03|
 +-----------------------------------------------------------+
