             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  | 10.02  6.50        6.52        6.52            |
 | 2  |        7.01        6.06        5.54            |
 | 3  |              6.01                              |
 | 4  |                    5.19        4.92            |
 | 6  |                          4.70              4.94|
 | 8  |                                4.54            |
 | 10 |                                      4.44      |
 | 12 |                                            4.38|
 +-----------------------------------------------------+
