             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  3.00  3.00  3.00  3.00  3.00  3.00  3.00            |
 | 2  |        2.50        2.25              2.24            |
 | 3  |              2.67                                    |
 | 4  |                    2.75              2.40            |
 | 5  |                          2.81                        |
 | 6  |                                2.85              1.39|
 | 8  |                                      3.14            |
 | 10 |                                            1.74      |
 | 12 |                                                  1.99|
 +-----------------------------------------------------------+
