             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  1.71  1.71        1.71        1.71            |
 | 2  |        0.86        0.86        0.86            |
 | 3  |              0.78                              |
 | 4  |                    0.57        0.58            |
 | 6  |                          0.58              0.64|
 | 8  |                                0.58            |
 | 10 |                                      0.58      |
 | 12 |                                            0.57|
 +-----------------------------------------------------+
