             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  2.74  2.74  2.74  2.74  2.74  2.73  2.74            |
 | 2  |        1.38        1.38              1.38            |
 | 3  |              0.92                                    |
 | 4  |                    0.92              0.92            |
 | 5  |                          0.92                        |
 | 6  |                                0.92              1.01|
 | 8  |                                      0.93            |
 | 10 |                                            0.92      |
 | 12 |                                                  0.92|
 +-----------------------------------------------------------+
