             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  2.99  1.50  1.01  1.00  1.02  1.05  1.09            |
 | 2  |        1.50        1.00              1.06            |
 | 3  |              1.00                                    |
 | 4  |                    1.00              1.05            |
 | 5  |                          1.01                        |
 | 6  |                                1.03              1.05|
 | 8  |                                      1.05            |
 | 10 |                                            1.03      |
 | 12 |                                                  1.12|
 +-----------------------------------------------------------+
