             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  9.22  6.50        5.50        5.50            |
 | 2  |        7.11        6.25        6.02            |
 | 3  |              6.31                              |
 | 4  |                    5.57        5.33            |
 | 6  |                          5.34              5.40|
 | 8  |                                5.08            |
 | 10 |                                      4.94      |
 | 12 |                                            4.86|
 +-----------------------------------------------------+
