             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  3.00  1.50  1.00  1.00  1.01  1.01  1.01            |
 | 2  |        1.50        1.25              1.15            |
 | 3  |              1.33                                    |
 | 4  |                    1.25              1.30            |
 | 5  |                          1.81                        |
 | 6  |                                1.71              1.40|
 | 8  |                                      1.80            |
 | 10 |                                            1.97      |
 | 12 |                                                  1.99|
 +-----------------------------------------------------------+
