             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  2.74  1.37  0.92  0.92  0.92  0.92  0.92            |
 | 2  |        1.38        0.92              0.92            |
 | 3  |              0.92                                    |
 | 4  |                    0.92              0.92            |
 | 5  |                          0.92                        |
 | 6  |                                0.93              0.92|
 | 8  |                                      0.93            |
 | 10 |                                            0.93      |
 | 12 |                                                  1.03|
 +-----------------------------------------------------------+
