             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  1.44  1.01  1.00  1.00  1.01  1.02  1.04            |
 | 2  |        1.00        1.00              1.03            |
 | 3  |              1.00                                    |
 | 4  |                    1.00              1.03            |
 | 5  |                          1.01                        |
 | 6  |                                1.02              1.03|
 | 8  |                                      1.03            |
 | 10 |                                            1.03      |
 | 12 |                                                  1.11|
 +-----------------------------------------------------------+
