             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  2.00  1.50  1.00  1.00  1.01  1.02  1.03            |
 | 2  |        1.50        1.00              1.03            |
 | 3  |              1.00                                    |
 | 4  |                    1.00              1.03            |
 | 5  |                          1.00                        |
 | 6  |                                1.00              1.01|
 | 8  |                                      1.03            |
 | 10 |                                            1.00      |
 | 12 |                                                  1.09|
 +-----------------------------------------------------------+
