             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  2.12  2.12  1.06  1.06  1.07  1.08  1.09            |
 | 2  |        1.76        1.48              1.38            |
 | 3  |              1.45                                    |
 | 4  |                    1.39              1.52            |
 | 5  |                          1.90                        |
 | 6  |                                1.99              1.45|
 | 8  |                                      2.11            |
 | 10 |                                            2.09      |
 | 12 |                                                  2.04|
 +-----------------------------------------------------------+
