             Unroll
 +-----------------------------------------------------+
 | SS |  1     2     3     4     6     8     10    12  |
 |    +------------------------------------------------+
 | 1  |  2.00  1.50        1.25        1.17            |
 | 2  |        1.50        1.25        1.18            |
 | 3  |              2.02                              |
 | 4  |                    1.51        1.54            |
 | 6  |                          1.80              2.19|
 | 8  |                                2.05            |
 | 10 |                                      2.06      |
 | 12 |                                            2.12|
 +-----------------------------------------------------+
