             Unroll
 +-----------------------------------------------------------+
 | SS |  1     2     3     4     5     6     8     10    12  |
 |    +------------------------------------------------------+
 | 1  |  1.83  1.83  0.92  0.92  0.92  0.94  0.94            |
 | 2  |        1.37        1.16              0.94            |
 | 3  |              0.92                                    |
 | 4  |                    0.92              1.14            |
 | 5  |                          0.93                        |
 | 6  |                                0.94              0.95|
 | 8  |                                      0.95            |
 | 10 |                                            0.93      |
 | 12 |                                                  1.02|
 +-----------------------------------------------------------+
