Processor Clock Rate ~= 1.6000 GHz
Length	lower1	lower2
20000	0.286912	0.000029
40000	1.147039	0.000057
60000	2.580267	0.000086
80000	4.586641	0.000115
100000	7.166146	0.000143
120000	10.318952	0.000172
140000	14.044787	0.000200
160000	18.344017	0.000229
180000	23.216485	0.000257
200000	28.673536	0.000286
220000	34.707457	0.000315
240000	41.304167	0.000343
260000	48.505589	0.000372
280000	56.283847	0.000401
300000	64.623098	0.000430
320000	73.541931	0.000458
340000	83.023830	0.000487
360000	93.129920	0.000516
380000	103.765742	0.000545
400000	114.978811	0.000573
420000	126.765697	0.000602
440000	139.128144	0.000631
460000	152.066794	0.000659
480000	165.578047	0.000688
500000	179.704319	0.000717
